loss,auc,val_loss,val_auc
0.36077699065208435,0.9486977458000183,0.17036181688308716,0.9826209545135498
0.20299486815929413,0.9754775762557983,0.15048331022262573,0.9857909083366394
0.17747414112091064,0.9809285402297974,0.14125563204288483,0.9879533052444458
0.16852307319641113,0.9828634262084961,0.14618225395679474,0.9879465103149414
0.16087163984775543,0.9842308759689331,0.18659460544586182,0.9802902340888977
0.15064893662929535,0.9857119917869568,0.1681787371635437,0.9844695329666138
0.1528589278459549,0.9857437014579773,0.15891653299331665,0.9842780232429504
0.1452951580286026,0.98673015832901,0.1349167376756668,0.9881143569946289
0.13358910381793976,0.9888380765914917,0.1329931914806366,0.9887033104896545
0.13907910883426666,0.9881507158279419,0.12495861202478409,0.9901368021965027
0.13206084072589874,0.9891311526298523,0.14397551119327545,0.987152636051178
0.13755792379379272,0.9882940053939819,0.13725076615810394,0.9874048829078674
0.13540495932102203,0.9891781210899353,0.11854293942451477,0.9915540218353271
0.1324281543493271,0.9888678193092346,0.13728900253772736,0.9892373085021973
0.1334621012210846,0.9891230463981628,0.13582822680473328,0.9885803461074829
0.1143210306763649,0.9918608665466309,0.18843324482440948,0.9817951321601868
0.12641428411006927,0.9898119568824768,0.1798384040594101,0.9832350015640259
0.112082839012146,0.9917484521865845,0.1530347466468811,0.986017644405365
